gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_13–24,tenure_group_25–48,tenure_group_49–72,Churn_Prob
0,0,1,0,1,0,0,0,1,0,0,0,0,1,29.85,29.85,0,False,False,False,False,False,True,False,False,False,False,0.5453663727200032
1,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,0,False,False,True,False,False,False,True,False,True,False,0.04901502265870288
1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,False,False,False,False,False,False,True,False,False,False,0.5260081404579495
1,0,0,0,45,0,0,1,0,1,1,0,0,0,42.3,1840.75,0,False,False,True,False,False,False,False,False,True,False,0.05554666466548097
0,0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,1,True,False,False,False,False,True,False,False,False,False,0.611887895232467
0,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,1,True,False,False,False,False,True,False,False,False,False,0.8601232527543332
1,0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,0,True,False,False,False,True,False,False,True,False,False,0.39607227310301885
0,0,0,0,10,0,0,1,0,0,0,0,0,0,29.75,301.9,0,False,False,False,False,False,False,True,False,False,False,0.19645393903905642
0,0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,1,True,False,False,False,False,True,False,False,True,False,0.5819033385220505
1,0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,0,False,False,True,False,False,False,False,False,False,True,0.045192708040195255
1,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,False,False,False,False,False,False,True,True,False,False,0.11320560866458812
1,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,False,True,False,True,True,False,False,True,False,False,0.03005368607483938
1,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,True,False,True,False,True,False,False,False,False,True,0.2076529260249624
1,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,True,False,False,False,False,False,False,False,False,True,0.4733138716125098
1,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,True,False,False,False,False,True,False,False,True,False,0.45072468278705813
0,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,True,False,False,True,True,False,False,False,False,True,0.020778349951356537
0,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,False,True,True,False,False,False,True,False,False,True,0.03956225003106054
1,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,True,False,False,True,False,False,False,False,False,True,0.1647644184756844
0,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,False,False,False,False,True,False,False,False,False,False,0.17164476459125017
0,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,True,False,False,False,False,True,False,True,False,False,0.4546118163230463
1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,False,False,False,False,False,True,False,False,False,False,0.8620291160523904
1,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,False,True,True,False,False,False,False,False,False,False,0.08021429333918903
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,False,True,False,False,False,False,True,False,False,False,0.40775983222231005
0,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,False,False,False,True,True,False,False,False,False,True,0.016891547301710195
1,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,False,False,False,False,True,False,False,False,False,True,0.10266082109592181
0,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,False,False,False,False,False,False,False,False,True,False,0.09330464989067462
1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,True,False,False,False,False,True,False,False,True,False,0.49764568538470855
1,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,False,False,False,False,False,True,False,False,False,False,0.5738429119455296
1,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,False,False,False,True,True,False,False,False,False,True,0.0025579868978903514
0,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,False,False,False,False,False,False,True,True,False,False,0.3232481146974675
0,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,True,False,False,True,True,False,False,False,False,True,0.032335721007374925
1,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,True,False,False,False,True,False,False,False,False,False,0.6370577404926714
0,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,False,False,True,False,False,False,True,False,True,False,0.06802771304391994
1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,False,True,False,False,False,False,False,False,False,False,0.27053910909077844
1,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,False,False,False,False,False,False,False,False,False,False,0.525717924372548
0,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,True,False,False,True,False,False,False,False,False,True,0.02647529977647386
1,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,True,False,False,False,False,True,False,False,False,False,0.558770693545019
0,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,True,False,False,False,True,False,False,False,True,False,0.2701059301710836
1,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,True,False,False,False,False,True,False,False,True,False,0.49486900214762974
0,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,True,False,False,False,False,False,False,False,False,False,0.8022901938442356
1,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,False,False,True,False,False,False,True,False,False,False,0.12533073364328515
0,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,False,False,False,True,True,False,False,False,False,True,0.022235974019091085
0,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,False,True,True,False,False,False,True,True,False,False,0.035204922294480225
0,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,False,False,False,True,True,False,False,False,False,True,0.02820178421116109
0,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,False,False,False,False,False,True,False,True,False,False,0.2712689374075666
0,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,True,False,False,False,False,True,False,False,False,True,0.42067510656138324
1,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97.0,0,False,False,False,False,False,False,True,False,False,False,0.3992457312822094
0,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,True,False,False,False,False,True,False,False,False,False,0.7020820877193727
1,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,False,False,False,True,True,False,False,False,False,True,0.022638308959536103
0,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,False,False,False,True,True,False,False,False,False,True,0.02082916542854992
0,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,True,False,False,False,False,True,False,False,True,False,0.40320770468280825
0,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,True,False,False,False,True,False,False,True,False,False,0.5339678323197513
0,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,False,False,False,False,True,False,False,False,True,False,0.1101015245500387
0,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,True,False,False,False,True,False,False,False,False,False,0.6913372320976542
0,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,False,False,True,False,True,False,False,False,False,True,0.05983793803224484
1,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,True,False,False,False,False,True,False,True,False,False,0.6375543694107187
0,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,True,False,True,False,True,False,False,False,False,True,0.1512726444179693
1,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,True,False,True,False,False,True,False,False,False,True,0.21423848452433497
0,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,False,True,False,True,True,False,False,False,True,False,0.01883278207566653
0,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,True,False,False,True,True,False,False,False,False,True,0.13794737326525422
0,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,True,False,False,False,False,True,False,False,True,False,0.4800996088607324
1,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,True,False,False,False,False,False,False,False,False,True,0.221092737880201
